"year","country","Biofuel Production - Daily Average","Biofuel Production - Oil Equivalent","Carbon Dioxide (CO2) Emmissions","Coal Consumption - Oil Equivalent","Coal Production","Coal Production - Oil Equivalent","Electricity Generation","Geothermal and Biomass Power Consumption","Geothermal and Biomass Power Consumption - Oil Equivalent","Geothermal Power Capacity","Hydroelectric Consumption","Hydroelectric Consumption - Oil Equivalent","Natural Gas Consumption","Natural Gas Consumption - Daily Average","Natural Gas Consumption - Oil Equivalent","Natural Gas Production","Natural Gas Production - Daily Average","Natural Gas Production - Oil Equivalent","Nuclear Power Consumption","Nuclear Power Consumption - Oil Equivalent","Oil Consumption","Oil Consumption - Daily Average","Oil Production","Oil Production - Daily Average","Oil Refinery Capacity","Oil Refinery Throughputs","Primary Energy Consumption - Oil Equivalent","Proved Natural Gas Reserves","Proved Oil Reserves","Solar Power Capacity","Solar Power Consumption","Solar Power Consumption - Oil Equivalent","Wind Power Capacity","Wind Power Consumption","Wind Power Consumption - Oil Equivalent"
1965,"Algeria",NA,NA,5.87,0.07,NA,NA,NA,0,0,NA,0.39,0.09,0.77,0.07,0.7,NA,NA,NA,0,0,1.29,26.79,26.48,577.38,NA,NA,2.14,NA,NA,NA,0,0,NA,0,0
1966,"Algeria",NA,NA,7.16,0.07,NA,NA,NA,0,0,NA,0.36,0.08,0.8,0.08,0.72,NA,NA,NA,0,0,1.69,35.47,33.87,738.59,NA,NA,2.56,NA,NA,NA,0,0,NA,0,0
1967,"Algeria",NA,NA,6.69,0.05,NA,NA,NA,0,0,NA,0.41,0.09,0.78,0.08,0.7,NA,NA,NA,0,0,1.58,33.43,39.08,852.03,NA,NA,2.42,NA,NA,NA,0,0,NA,0,0
1968,"Algeria",NA,NA,7.11,0.06,NA,NA,NA,0,0,NA,0.56,0.13,0.82,0.08,0.74,NA,NA,NA,0,0,1.68,35.51,42.9,932.91,NA,NA,2.6,NA,NA,NA,0,0,NA,0,0
1969,"Algeria",NA,NA,8,0.07,NA,NA,NA,0,0,NA,0.36,0.08,1.08,0.1,0.97,NA,NA,NA,0,0,1.77,37.83,44.78,976.91,NA,NA,2.9,NA,NA,NA,0,0,NA,0,0
1970,"Algeria",NA,NA,8.7,0.08,NA,NA,NA,0,0,NA,0.58,0.13,1.01,0.1,0.91,2.53,0.25,2.28,0,0,2.03,43.13,48.21,1051.63,NA,NA,3.16,NA,NA,NA,0,0,NA,0,0
1971,"Algeria",NA,NA,9.54,0.02,NA,NA,NA,0,0,NA,0.33,0.07,1.15,0.11,1.03,2.67,0.26,2.4,0,0,2.29,49.01,37.1,809.14,NA,NA,3.42,NA,NA,NA,0,0,NA,0,0
1972,"Algeria",NA,NA,10.61,0.02,NA,NA,NA,0,0,NA,0.5,0.11,1.33,0.13,1.2,3.38,0.33,3.04,0,0,2.51,53.68,50.1,1089.11,NA,NA,3.85,NA,NA,NA,0,0,NA,0,0
1973,"Algeria",NA,NA,12.42,0.02,NA,NA,NA,0,0,NA,0.76,0.17,1.86,0.18,1.67,4.49,0.43,4.04,0,0,2.74,58.99,50.89,1111.11,NA,NA,4.6,NA,NA,NA,0,0,NA,0,0
1974,"Algeria",NA,NA,13.93,0.02,NA,NA,NA,0,0,NA,0.5,0.11,2.15,0.21,1.93,5.19,0.5,4.67,0,0,3.04,65.78,47.35,1035.56,NA,NA,5.1,NA,NA,NA,0,0,NA,0,0
1975,"Algeria",NA,NA,16.72,0.02,NA,NA,NA,0,0,NA,0.33,0.07,2.96,0.29,2.66,6.39,0.62,5.75,0,0,3.38,73.04,45.75,1002.66,NA,NA,6.14,NA,NA,NA,0,0,NA,0,0
1976,"Algeria",NA,NA,19.48,0.05,NA,NA,NA,0,0,NA,0.38,0.09,3.5,0.34,3.15,8.05,0.78,7.25,0,0,3.88,84.85,50.6,1109.11,NA,NA,7.16,NA,NA,NA,0,0,NA,0,0
1977,"Algeria",NA,NA,21.63,0.06,NA,NA,NA,0,0,NA,0.27,0.06,3.73,0.36,3.36,7.71,0.75,6.93,0,0,4.4,95.39,54.05,1187.76,NA,NA,7.88,NA,NA,NA,0,0,NA,0,0
1978,"Algeria",NA,NA,26.66,0.03,NA,NA,NA,0,0,NA,0.26,0.06,5.99,0.58,5.39,11.95,1.16,10.76,0,0,4.52,99.58,57.74,1270.17,NA,NA,10,NA,NA,NA,0,0,NA,0,0
1979,"Algeria",NA,NA,34.82,0.07,NA,NA,NA,0,0,NA,0.29,0.07,8.47,0.82,7.62,19.59,1.9,17.63,0,0,5.42,119.07,57.55,1271.21,NA,NA,13.18,NA,NA,NA,0,0,NA,0,0
1980,"Algeria",NA,NA,41.04,0.06,NA,NA,NA,0,0,NA,0.26,0.06,11.37,1.1,10.23,14.17,1.37,12.76,0,0,5.47,120.73,51.75,1138.68,NA,NA,15.82,3.72,8.2,NA,0,0,NA,0,0
1981,"Algeria",NA,NA,49.98,0.17,NA,NA,NA,0,0,NA,0.36,0.08,14.78,1.43,13.3,16.88,1.63,15.19,0,0,5.89,130.65,46.83,1048.93,NA,NA,19.44,3.68,8.08,NA,0,0,NA,0,0
1982,"Algeria",NA,NA,58.01,0.86,NA,NA,NA,0,0,NA,0.48,0.11,16.77,1.62,15.09,21.94,2.12,19.74,0,0,6.25,138.23,46.85,1064.81,NA,NA,22.3,3.61,9.44,NA,0,0,NA,0,0
1983,"Algeria",NA,NA,63.22,0.73,NA,NA,NA,0,0,NA,0.23,0.05,18.36,1.78,16.52,31.62,3.06,28.45,0,0,7.01,155.78,45.87,1046.79,NA,NA,24.32,3.53,9.22,NA,0,0,NA,0,0
1984,"Algeria",NA,NA,60.9,0.75,NA,NA,NA,0,0,NA,0.46,0.1,16.13,1.56,14.52,31.46,3.04,28.32,0,0,7.76,172.47,49.47,1137.37,NA,NA,23.13,3.44,9,NA,0,0,NA,0,0
1985,"Algeria",NA,NA,61.21,0.75,NA,NA,12.27,0,0,NA,0.65,0.15,15.98,1.55,14.38,34.27,3.32,30.84,0,0,7.97,177.06,50,1150.9,NA,NA,23.25,3.35,8.82,NA,0,0,NA,0,0
